"","test_trimmed_scaled$td","predict","p0","p1"
"1","0","0",0.425079762617872,0.574920237382128
"2","0","0",0.414291830501555,0.585708169498445
"3","0","0",0.385238742120675,0.614761257879325
"4","0","0",0.347587234304393,0.652412765695607
"5","0","0",0.383035784687507,0.616964215312493
"6","0","0",0.339601829561086,0.660398170438914
"7","0","0",0.383220043749978,0.616779956250022
"8","0","1",0.329982290271898,0.670017709728102
"9","0","0",0.42358766442631,0.57641233557369
"10","0","0",0.340119156714934,0.659880843285066
"11","0","0",0.354943150883256,0.645056849116744
"12","0","0",0.390191847342822,0.609808152657178
"13","0","0",0.354361819474476,0.645638180525524
"14","0","1",0.327846171920202,0.672153828079798
"15","0","0",0.421368311297298,0.578631688702702
"16","0","0",0.362506304325199,0.637493695674801
"17","0","0",0.351799929039463,0.648200070960537
"18","0","0",0.350095197638398,0.649904802361602
"19","0","0",0.388364693470034,0.611635306529966
"20","0","1",0.298985115096206,0.701014884903794
"21","0","0",0.358583383511053,0.641416616488947
"22","0","0",0.42917462695794,0.57082537304206
"23","0","0",0.412043443202733,0.587956556797267
"24","1","1",0.33508366925805,0.66491633074195
"25","0","0",0.392795825683287,0.607204174316713
"26","0","0",0.370459422848845,0.629540577151155
"27","0","0",0.372380145805497,0.627619854194503
"28","0","0",0.381620789128841,0.618379210871159
"29","1","0",0.368587648025494,0.631412351974506
"30","0","0",0.358420916152172,0.641579083847828
"31","0","0",0.378424440985077,0.621575559014923
"32","0","0",0.347082191094725,0.652917808905275
"33","0","0",0.346056207343844,0.653943792656157
"34","1","1",0.332610078752436,0.667389921247564
"35","0","0",0.368161970199226,0.631838029800774
"36","0","1",0.330635534682472,0.669364465317528
"37","0","0",0.35829715448701,0.64170284551299
"38","0","0",0.353560539231555,0.646439460768445
"39","1","0",0.406409452361638,0.593590547638362
"40","0","1",0.329685271170635,0.670314728829365
"41","0","1",0.297411040077961,0.702588959922039
"42","0","0",0.356387974412665,0.643612025587335
"43","0","1",0.308684854867046,0.691315145132954
"44","0","0",0.417054493805742,0.582945506194258
"45","1","1",0.289499311980355,0.710500688019645
"46","1","1",0.279575916160442,0.720424083839558
"47","0","1",0.258675277245578,0.741324722754422
"48","1","0",0.342282682119301,0.657717317880699
"49","0","1",0.229897004166444,0.770102995833556
"50","0","0",0.39388136971814,0.60611863028186
"51","0","1",0.330054930210268,0.669945069789732
"52","0","0",0.337283856948292,0.662716143051708
"53","0","0",0.357194077789857,0.642805922210143
"54","0","0",0.345699455670564,0.654300544329436
"55","1","0",0.395549531073631,0.604450468926369
"56","0","0",0.391412903767036,0.608587096232964
"57","0","0",0.369732076576378,0.630267923423622
"58","0","0",0.376371821876998,0.623628178123002
"59","0","0",0.397457910147322,0.602542089852678
"60","0","0",0.343918331014014,0.656081668985986
"61","0","1",0.307910648037941,0.692089351962059
"62","0","0",0.441719711780991,0.558280288219009
"63","0","0",0.396185879646652,0.603814120353348
"64","0","0",0.377103695108377,0.622896304891623
"65","0","1",0.310516354912467,0.689483645087533
"66","0","0",0.390754835717968,0.609245164282033
"67","0","0",0.396917335356873,0.603082664643127
"68","0","0",0.412032844565053,0.587967155434947
"69","0","1",0.273264139654765,0.726735860345235
"70","0","1",0.321044922420865,0.678955077579135
"71","0","0",0.381095884445797,0.618904115554203
"72","0","0",0.384246128441653,0.615753871558347
"73","0","0",0.36768457019384,0.63231542980616
"74","0","0",0.416500315278919,0.583499684721081
"75","0","0",0.340189430956859,0.659810569043141
"76","0","0",0.434816476720485,0.565183523279515
"77","0","1",0.283903514094223,0.716096485905777
"78","0","1",0.222386657372263,0.777613342627737
"79","0","0",0.421505435449855,0.578494564550145
"80","0","1",0.321698273791313,0.678301726208687
"81","0","0",0.388769912305489,0.61123008769451
"82","0","0",0.366893450360508,0.633106549639492
"83","0","0",0.392139163684661,0.607860836315339
"84","0","1",0.321152011296216,0.678847988703784
"85","0","0",0.36248154607699,0.63751845392301
"86","0","0",0.391709338515516,0.608290661484484
"87","0","1",0.279588531753748,0.720411468246252
"88","0","1",0.229911085197411,0.770088914802589
"89","0","1",0.311648141666311,0.688351858333689
"90","0","1",0.245620507253754,0.754379492746246
"91","0","0",0.389239506541245,0.610760493458754
"92","0","0",0.373302929467386,0.626697070532614
"93","0","1",0.251503387902497,0.748496612097503
"94","0","0",0.452034703690883,0.547965296309117
"95","0","1",0.301047909982919,0.698952090017081
"96","0","0",0.388206197695761,0.611793802304239
"97","0","1",0.310188557105984,0.689811442894016
"98","0","1",0.217948402250943,0.782051597749057
"99","0","1",0.204183467668363,0.795816532331637
"100","0","1",0.295949586665961,0.704050413334039
"101","0","1",0.331623731533613,0.668376268466387
"102","0","0",0.353656843177635,0.646343156822365
"103","0","1",0.328301923493854,0.671698076506146
"104","0","0",0.360436280125622,0.639563719874378
"105","0","0",0.341450787088106,0.658549212911894
"106","1","1",0.305990553044505,0.694009446955495
"107","1","1",0.323154201183666,0.676845798816334
"108","1","0",0.393955558362803,0.606044441637197
"109","1","0",0.418239505811628,0.581760494188372
"110","1","1",0.331506082616599,0.6684939173834
"111","1","1",0.317266762509449,0.682733237490551
"112","1","0",0.358358859450847,0.641641140549153
"113","1","1",0.241155012980894,0.758844987019106
"114","1","0",0.353920005835612,0.646079994164388
"115","1","1",0.307301429706858,0.692698570293142
"116","1","1",0.260086692995191,0.739913307004809
"117","1","0",0.348228404462067,0.651771595537933
"118","0","0",0.380567097254689,0.619432902745311
"119","0","0",0.436777945706957,0.563222054293043
"120","0","0",0.378358252381213,0.621641747618787
"121","0","1",0.247148955362208,0.752851044637792
"122","0","1",0.272074695259055,0.727925304740945
"123","0","1",0.324141011914999,0.675858988085001
"124","0","0",0.337725835184136,0.662274164815864
"125","0","0",0.35063508659988,0.64936491340012
"126","0","0",0.378714458570468,0.621285541429532
"127","0","0",0.338828555164035,0.661171444835965
"128","0","0",0.390395601883939,0.609604398116061
"129","0","1",0.333586262933971,0.666413737066029
"130","0","0",0.403654861929489,0.596345138070511
"131","0","0",0.421820428121311,0.57817957187869
"132","0","0",0.406704675903089,0.593295324096911
"133","0","0",0.37050985369647,0.629490146303531
"134","0","0",0.405952864466273,0.594047135533727
"135","0","0",0.349749213083588,0.650250786916412
"136","0","1",0.236992628550714,0.763007371449286
"137","0","0",0.33530727311797,0.66469272688203
"138","0","0",0.43231952940859,0.56768047059141
"139","0","1",0.303250888433753,0.696749111566247
"140","0","0",0.367829881740145,0.632170118259855
"141","0","0",0.417424323215588,0.582575676784412
"142","0","0",0.412281609857144,0.587718390142856
"143","0","0",0.399987605158226,0.600012394841774
"144","0","0",0.380596665696005,0.619403334303995
"145","0","0",0.348490288178826,0.651509711821174
"146","0","0",0.37500359383709,0.62499640616291
"147","0","0",0.42716881204352,0.57283118795648
"148","0","0",0.419937841978729,0.580062158021271
"149","0","0",0.359995578125083,0.640004421874917
"150","0","0",0.369264245143535,0.630735754856465
"151","0","0",0.377613106699634,0.622386893300366
"152","0","0",0.396960495890539,0.60303950410946
"153","0","0",0.393363496788488,0.606636503211512
