"","win60s","RunName","drowsy","Event_ID","nTime_0","nTime_1","nTime_2","nTime_3","nTime_4","nTime_5","nTime_6","nTime_7","nTime_8","nTime_9","nTime_10","nTime_11","nTime_12","nTime_13","nTime_14","nTime_15","nTime_16","nTime_17","nTime_18","nTime_19","nTime_20","nTime_21","nTime_22","nTime_23","nTime_24","nTime_25","nTime_26","nTime_27","nTime_28","nTime_29","nTime_30","nTime_31","nTime_32","nTime_33","nTime_34","nTime_35","nTime_36","nTime_37","nTime_38","nTime_39","nTime_40","nTime_41","nTime_42","nTime_43","nTime_44","nTime_45","nTime_46","nTime_47","nTime_48","nTime_49","nTime_50","nTime_51","nTime_52","nTime_53","nTime_54","nTime_55","nTime_56","nTime_57","nTime_58","nTime_59","nTime_60"
"1",1,"A_M1001YM01_1S1RNA",FALSE,101,-1.0107,-1.0107,-1.0107,-1.0107,-1.0107,-1.0107,-1.0107,-1.0107,-1.0107,-1.0107,-1.0107,-1.0107,-1.0107,-1.0107,-1.0107,-1.0107,-1.0107,-1.0107,-1.0107,-1.0107,-1.0547,-1.2744,-0.57128,-2.2412,-4.74605,-3.07615,-7.3828,-8.1738,-136.825,-189.47,-223.88,-142.89,24.785,112.52,82.155,7.4047,4.2847,1.6699,0.263665,-2.9004,-4.1748,-4.17475,-2.35105,0.46143,-2.19725,-1.032705,-1.5381,-1.8017,-1.64795,-1.2744,-1.8896,-1.80175,-1.07665,0.659175,-1.6699,-2.1533,-0.68115,1.8457,-0.13184,0.90087,1.8017
"2",2,"A_M1001YM01_1S1RNA",FALSE,102,0.043945,0.373535,-0.90087,-1.626,0.0878955,0.74706,1.8677,2.17525,2.6147,1.9116,8.19575,10.898,8.8769,6.8115,3.82325,6.0205,5.625,6.85545,7.207,5.1196,3.95505,5.0537,5.9326,7.2949,8.1738,8.2177,8.1298,5.22945,3.6474,3.71335,4.0649,5.7568,6.0205,6.13035,5.6689,5.9765,6.0205,8.30555,6.54785,5.581,5.05365,4.89985,6.0644,6.52585,6.9433,8.6132,6.4819,2.1753,1.8237,8.74505,9.68985,9.58,5.73485,5.86665,5.64695,5.5371,4.5703,4.3066,7.3828,9.1186,9.624
"3",3,"A_M1001YM01_1S1RNA",FALSE,102,7.9101,5.86665,5.71285,3.64745,8.6132,8.37155,7.2509,6.7016,8.2397,5.4052,5.55905,6.8774,7.2289,5.8447,5.31735,4.5703,1.9775,0.615245,-1.53805,-0.3955,-0.681145,-1.1426,0.26367,0.0878955,0.37353,-0.8789,-0.70312,-1.1865,-0.9668,-0.74706,-0.79101,-0.90087,-1.29635,-1.8896,-1.626,-0.351535,-0.59327,-0.043945,-0.83495,-1.0107,-0.59324,-0.527315,0.021962,-1.03275,-1.4062,-1.4062,-0.285645,-1.0547,-0.61523,-1.1426,-1.0547,-0.26367,-0.615235,-1.25245,-1.1206,-0.505365,-0.54931,-0.48339,-0.769025,-1.4722,-1.9336
"4",4,"A_M1001YM01_1S1RNA",FALSE,103,-2.0654,-0.52734,-1.6699,-1.0766,-0.74706,-1.0986,-2.2412,-1.5161,-1.03265,-1.1865,-0.48339,-0.395505,-1.40625,-2.0215,-1.95555,-2.2412,-0.8789,0.153829,-0.0219725,0.83495,-0.52734,-0.373555,-1.01074,-0.79103,-1.582,-0.834955,-0.72511,-0.83496,-0.615215,-1.69185,-1.7139,-1.2305,-0.769045,-1.0547,-0.373515,-0.81299,-0.856925,-1.3623,-1.3183,-1.4062,-1.1865,-0.8789,-1.9776,-1.4062,-0.90087,-0.70312,-0.747055,-1.51615,-1.1645,-0.57128,-1.0107,-1.31835,-1.1865,-0.94483,-0.153805,0.856905,-0.79102,-2.04345,-1.9775,-1.9775,-1.1426
"5",5,"A_M1001YM01_1S1RNA",FALSE,104,-1.3623,-0.59326,-1.86765,-0.96679,-0.593255,-0.48341,-0.30761,-1.8896,-0.8789,-0.988745,-0.90087,-0.769035,-0.725095,-0.593265,-0.74706,-1.4502,-0.92285,-0.747065,-1.1425,-0.988755,-2.43895,-1.69195,-1.3403,-1.31835,-0.96679,-1.626,-3.01025,-3.29585,-0.175835,1.8896,-2.1972,1.16455,0.70312,0.13183,0.087933,-1.8017,-2.5269,-1.582,-4.2627,-5.0317,-4.63625,-3.8672,-0.83495,-2.8125,-2.50485,-5.86665,-3.6914,-3.5595,-3.5156,-3.4717,-3.4277,-3.4277,-3.6035,-3.6035,-3.6035,-3.4717,-3.164,-3.164,-3.164,-2.28515,1.0107
"6",6,"A_M1001YM01_1S1RNA",FALSE,104,1.2305,4.46045,9.27235,5.82275,-2.76855,-5.4052,-1.84565,-0.87888,-2.43895,-1.23045,0.52734,0.351545,-0.08789,0.28567,-1.2744,1.77975,0.2198,-0.35158,-1.86765,-2.5268,-2.37305,-2.13135,-7.6904,-24.104,-21.291,-22.104,-21.05,-21.533,-23.049,-20.83,-18.149,-13.557,-3.64755,0.1317715,0.26367,0.0439394495,0.944815,0.70315,0.98878,0.900875,-0.461435,-3.55955,-2.94435,-1.42815,-2.4609,7.2729,8.4814,7.2949,4.5483,6.8334,5.8008,3.0322,2.7686,5.4931,7.33875,7.5585,5.7128,5.31725,3.4277,6.45985,4.3066
"7",7,"A_M1001YM01_1S1RNA",FALSE,104,5.4491,3.0981,6.1303,5.0317,4.26265,4.9438,5.97645,8.45945,6.19625,3.62545,2.1533,5.53705,6.2182,7.64645,7.2509,3.9111,3.64745,4.0429,2.02145,-0.219745,-0.791025,-1.40625,0.087898,-0.63721,-2.2632,-3.40575,-1.4063,-1.5161,-1.51605,-1.9775,-1.93355,-2.3291,-1.9116,-1.07665,-1.7139,-2.26315,-1.16455,-1.29635,-0.65914,-0.83497,-2.2192,-1.2305,-1.6699,-2.0654,-1.9995,-1.3403,-1.1426,-1.8237,-0.219715,0.1318,1.7798,2.6367,4.28465,4.0429,1.56,4.8999,-1.25245,-2.9883,-2.8564,-34.9145,-125.51
"8",8,"A_M1001YM01_1S1RNA",FALSE,106,-312.76,-385.375,-314.21,-13.14,13.821,15.5785,0.615215,0.26367,2.37315,2.39505,0.131815,-1.582,-0.83492,0.83495,-1.1426,0.109879,-1.49415,-1.8896,-13.5785,-14.326,-17.446,-23.291,-21.9065,-25.2465,-25.29,-24.521,-7.44885,-3.5376,-1.2085,-2.5928,-2.48285,-1.80175,-0.48342,-0.30763,-0.79101,0.043943,1.80175,1.9556,5.9765,8.5693,8.59125,3.33975,3.955,0.15382,4.3945,5.97645,5.7348,5.9765,6.6577,5.64695,6.1084,5.16355,5.3833,4.3066,3.60345,4.6362,4.17475,2.9223,3.7793,6.4819,8.8769
"9",9,"A_M1001YM01_1S1RNA",FALSE,106,8.4814,5.6689,4.63615,3.05415,1.73575,-0.571305,-0.50539,-0.571295,-1.14255,-2.04345,-0.65917,1.2305,0.10985,-0.329585,-0.68119,-1.18655,-0.593255,-0.43945,-0.48339,-1.69195,0.54932,0.0440095505,-0.439395,0.35156,-0.175795,-2.0215,-0.96677,-0.65917,-0.65917,-0.61523,-1.2305,-0.61523,-0.65917,0.3955,1.2305,-2.6367,-3.4497,-0.52735,-0.022004875,-2.5708,-6.2402,-10.393,-8.9428,-5.36135,-7.2729,-7.05315,-8.76695,-10.04125,-9.4482,-8.5694,-7.53655,-7.4267,-9.7118,-9.8876,-9.79975,-8.61325,-8.83295,-9.09655,-9.0087,-7.976,-8.6572
"10",10,"A_M1001YM01_1S1RNA",FALSE,106,-8.5693,-8.87685,-9.14055,-9.0966,-9.62375,-7.38275,-7.0532,-9.38225,-10.327,-10.063,-9.64595,-8.2617,-5.8886,-5.6689,-8.26165,-9.22845,-8.94275,-8.41555,-7.53655,-7.4706,-7.80015,-8.2177,-6.50395,-7.77825,-9.1406,-9.79975,-9.4262,-8.5693,-8.2177,-9.1845,-8.74505,-7.4267,-8.39345,-7.42655,-8.21775,-6.72355,-3.2519,-2.08735,-2.32915,-1.7578,-2.54885,-2.0654,-2.1094,-1.7798,-1.77965,-0.57135,-1.6919,-1.8457,-1.1205,-0.0879625,-0.72509,-1.6041,-2.52685,-3.0762,-1.626,-1.03269,-0.769035,-0.0657995,-0.131875,-0.65917,-0.52734
