,0
0,0.526216497527973
1,0.6284153005464481
2,0.6323835545147021
3,0.6068175904241477
4,0.6962008847254748
5,0.6984126984126984
6,0.7153265677855842
7,0.7298985167837627
8,0.712984647410877
9,0.7161072079104867
10,0.7382253447827218
11,0.7046578194119177
12,0.7205308352849336
13,0.70647931303669
14,0.7252146760343481
15,0.712984647410877
16,0.7135050741608119
17,0.6734322144158209
18,0.702576112412178
19,0.730679156908665
20,0.7140255009107468
21,0.7283372365339578
22,0.6919073640385116
23,0.6958105646630236
24,0.7046578194119177
25,0.6947697111631538
26,0.7148061410356492
27,0.7007546187874057
28,0.6861826697892272
29,0.7481134530314858
30,0.68384074941452
31,0.7028363257871454
32,0.7413479052823315
33,0.7481134530314858
34,0.7093416601613323
35,0.6958105646630237
36,0.7220921155347384
37,0.7028363257871455
38,0.6984126984126984
39,0.7455113192818111
40,0.7291178766588602
41,0.677855841790268
42,0.726775956284153
43,0.6781160551652354
44,0.7210512620348686
45,0.716367421285454
46,0.7090814467863649
47,0.7351027842831122
48,0.6713505074160813
49,0.7119437939110072
