"","RunName","win60s","Event_ID","drowsy","nTime_0","nTime_1","nTime_2","nTime_3","nTime_4","nTime_5","nTime_6","nTime_7","nTime_8","nTime_9","nTime_10","nTime_11","nTime_12","nTime_13","nTime_14","nTime_15","nTime_16","nTime_17","nTime_18","nTime_19","nTime_20","nTime_21","nTime_22","nTime_23","nTime_24","nTime_25","nTime_26","nTime_27","nTime_28","nTime_29","nTime_30","nTime_31","nTime_32","nTime_33","nTime_34","nTime_35","nTime_36","nTime_37","nTime_38","nTime_39","nTime_40","nTime_41","nTime_42","nTime_43","nTime_44","nTime_45","nTime_46","nTime_47","nTime_48","nTime_49","nTime_50","nTime_51","nTime_52","nTime_53","nTime_54","nTime_55","nTime_56","nTime_57","nTime_58","nTime_59","nTime_60"
"5284","A_M1062OF01_1S1RNA",14,203,FALSE,-1.626,-0.13183,-2.0874,-1.29635,-0.92284,-0.593255,0.30761,1.45015,0.48339,0.26367,-0.37353,-0.79101,-0.96679,-0.57128,0.043945,0.13183,0.26366,0.52734,-0.0659285,-3.8452,2.3511,-0.0659175,-0.043913,-2.329,-4.0869,-1.53805,4.13085,-3.7793,0.747065,-0.85686,-1.6919,-2.2192,-1.4502,-0.0220046885,-0.439555,-0.74706,-0.61523,-1.05465,-0.48339,-1.4062,-1.45015,-0.70312,-1.4062,-0.57128,-0.61523,-0.35156,-0.92284,-0.26367,-0.856915,-1.0986,-0.988745,-2.1533,-1.4941,-1.60395,-1.8896,-1.626,-1.4502,-1.4941,-0.593245,2.76855,-0.17578
"5285","A_M1062OF01_1S1RNA",15,203,FALSE,0.48339,0.043945,-0.65917,-1.0107,-9.0306,-1.2085,-1.12055,-0.3955,-0.35156,-0.329585,0,-1.4282,-3.186,-2.98835,2.46085,-0.0440095,0.52734,-0.50538,-1.0107,-0.92284,-1.6919,-2.10945,-0.219745,-0.74706,4.3945,-2.35095,-2.74655,-0.81298,-1.1426,-1.01075,-1.0986,-0.76897,-1.4941,-0.087901,-0.26367,-0.1098635,-0.50538,-0.52734,0.043945,-0.21972,-0.08789,-0.417475,-0.28565,-1.4502,0.13183,0.0659175,0.39549,-0.70312,-1.56005,-1.53815,-0.48339,0.74706,1.56005,0.417465,0.0219725,-0.35156,-0.263615,-0.76907,-0.48339,0.0658855,-0.8789
"5286","A_M1062OF01_1S1RNA",16,204,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.79101,-0.61523,0,-1.3623,-3.0981,-0.74706,0.21972,0.043945,-0.79101,-0.79101,-1.03275,-1.4502,-1.4282,-0.43945,-1.1865,-1.3184,-1.77975,-1.4941,-1.4502,-0.65917,-1.0986,-1.0986,-4.7021,-3.6035,0.922965,-5.66895,-0.790945,2.76855,0.219715,0.68119,-0.90087,-5.1855,0.79102,2.08735,2.7905,-3.40575,-3.0322,-0.2417,-2.9882,0.81297,-0.17578,-0.593255,-1.4941
"5287","A_M1062OF01_1S1RNA",17,205,FALSE,NA,NA,NA,-1.1426,-0.72509,-0.43945,-1.27445,-1.1865,-0.96677,-1.40625,-2.68065,-1.9776,-2.7246,-3.8672,-4.54845,-1.9775,-2.68065,-4.13085,-4.1748,-4.2187,-4.0429,-4.1748,-4.26265,-1.66975,-4.81195,-3.8452,-3.7793,-2.19725,-4.76805,-4.6142,-1.9336,-4.68015,-4.28465,-2.8125,-4.59225,-3.07615,-4.28465,-3.0542,-4.08695,-4.1528,-3.7792,-2.52685,-4.57025,-2.15325,-3.0542,-4.2627,-4.0869,-2.06545,-3.6035,-1.9995,-3.47175,-4.4384,-3.999,-2.10935,-4.37255,-1.93355,-2.54895,-6.4599,-0.593185,-2.98815,-2.0654
"5288","A_M1062OF01_1S1RNA",18,205,FALSE,-2.26315,-3.0983,-4.021,-1.99935,-4.1087,-2.5488,-2.7246,-3.5814,-3.164,-3.1201,-2.373,-4.19675,-5.05375,-2.9004,-2.37305,-3.6914,-3.05425,-3.80125,-4.0429,-2.32905,-3.164,-3.8232,-3.0981,-3.05415,-3.8012,-2.9883,-2.9443,-3.8452,-2.6806,-3.9111,0.505195,-0.1317935,-0.26367,-1.582,0.08789,-0.37353,0.92284,-0.68106,-0.527255,0.022122705,-0.61514,0.21972,-1.2084,-3.77925,-2.13135,-5.3393,-5.4493,-4.8339,-4.1748,-5.3173,-3.71335,-5.9986,-3.93325,-4.19665,-4.5263,-2.9883,-4.81185,-5.5371,-4.9878,-3.40555,-6.2841
"5289","A_M1062OF01_1S1RNA",19,205,FALSE,-5.86665,-3.4497,-4.1529,-4.3506,-4.52635,-6.0862,-2.9224,-2.7246,-5.71275,-5.625,-2.6367,-3.71335,-4.0429,-5.1415,-2.0875,-1.9995,-1.67,-0.74706,-0.351645,0.30761,-0.8789,-0.48339,-1.626,-1.2965,-1.6919,-0.1099485,0.351515,0.54931,-0.834785,1.1864,2.6586,2.32915,1.66975,4.8559,-0.219765,2.3291,2.61475,1.8895,2.7904,1.8676,1.1865,4.0428,1.9996,5.0317,2.7026,3.208,2.06545,2.5706,4.5263,1.95555,2.43885,1.56005,3.1861,0.769035,4.08685,2.1095,3.47155,1.80165,2.3291,1.51605,0.966925
"5290","A_M1062OF01_1S1RNA",20,206,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17578,-0.768955,0.52721,0.307485,1.60385,-0.30766,-0.659045,1.3842,1.1865,4.68,4.0868,0.43945,0.219405,1.7579,-0.61519,1.0986,1.5379,0.8789,1.0986,2.1533,2.57095,0.417565,-0.39576,0.96679,0.021844,0.28564,-0.96679,-0.74706,-1.0106,-4.7461,-4.7021,-4.32875,-5.8886,-5.2295,-5.22975,-4.96555,-2.2192,-4.1748,-5.47115,-4.39465
"5291","A_M1062OF01_1S1RNA",21,302,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7691,-1.5161,-1.9336,-1.7139,0.83495,0.54931,-1.12065,-2.351,-2.7026
"5292","A_M1062OF01_1S1RNA",22,304,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.933,-6.96525,-7.25075,-8.3498,-7.14105,-4.81205,-7.5584,-8.52555,-6.67945,-7.5146,-8.2397,-6.23995,-6.41605,-7.69025,-7.6246,-5.11935,-6.26215,-5.01005,-8.94285,-9.9096,-2.13165,-6.98725,-3.71335,-8.4374,-5.0537,-5.86665,-3.8672,-1.71405,-1.3183,-1.3183,1.2305,4.50425,12.1945,22.588,23.972,20.566,26.8065,20.083
"5293","A_M1062OF01_1S1RNA",23,304,FALSE,22.016,22.126,23.335,20.6105,25.378,24.609,25.9495,21.929,23.379,24.038,25.576,26.85,26.543,23.8185,24.521,25.818,22.1705,9.7117,1.8455,1.5821,5.38325,-0.483395,0.96685,0,0.0659175,-0.21977,-0.79101,-0.50537,2.3291,-0.681085,0.593195,-1.1866,-3.88915,-1.38445,0.263755,-0.28551,-1.05485,-1.5381,-2.19705,0.21972,0.3955,-1.0108,-0.395505,-0.92284,-0.70327,-0.46134,-0.52734,-1.582,-0.96679,-0.3955,-3.8232,-6.74545,-9.2504,-14.9195,-9.6679,-11.338,-13.8865,-14.612,-10.854,-7.4268,-2.1095
"5294","A_M1062OF01_1S1RNA",24,304,FALSE,-2.2193,-3.36175,-1.4062,-1.4719,-2.417,0,-1.7139,-3.7353,-1.9996,-4.61405,-10.745,-3.01015,-9.9316,-11.4035,-7.99805,-9.9538,-10.327,-6.10805,-7.95455,-7.07495,-9.3821,-4.06505,-1.3622,-2.87855,-0.48339,1.16455,5.84455,9.42595,11.997,16.523,17.556,19.819,20.456,15.776,18.237,19.094,14.084,3.99945,-1.67,1.14245,1.16465,0.61523,-0.153745,-0.549355,-1.5817,-2.3949,-2.0215,-0.65917,-2.54875,-3.999,-2.43895,-2.417,-3.3838,-3.99925,-3.3838,-0.769035,-2.0213,-3.955,-5.3393,-1.8019,-2.7464
