"","RunName","win60s","c"
"122","A_M1002YM01_1S1RNA",1,102
"123","A_M1002YM01_1S1RNA",2,102
"124","A_M1002YM01_1S1RNA",3,103
"125","A_M1002YM01_1S1RNA",4,103
"126","A_M1002YM01_1S1RNA",5,104
"127","A_M1002YM01_1S1RNA",6,104
"128","A_M1002YM01_1S1RNA",7,105
"129","A_M1002YM01_1S1RNA",8,106
"130","A_M1002YM01_1S1RNA",9,106
"131","A_M1002YM01_1S1RNA",10,201
"132","A_M1002YM01_1S1RNA",11,203
"133","A_M1002YM01_1S1RNA",12,203
"134","A_M1002YM01_1S1RNA",13,203
"135","A_M1002YM01_1S1RNA",14,203
"136","A_M1002YM01_1S1RNA",15,204
"137","A_M1002YM01_1S1RNA",16,205
"138","A_M1002YM01_1S1RNA",17,205
"139","A_M1002YM01_1S1RNA",18,205
"140","A_M1002YM01_1S1RNA",19,206
"141","A_M1002YM01_1S1RNA",20,303
"142","A_M1002YM01_1S1RNA",21,304
"143","A_M1002YM01_1S1RNA",22,304
"144","A_M1002YM01_1S1RNA",23,304
"145","A_M1002YM01_1S1RNA",24,305
"146","A_M1002YM01_1S1RNA",25,306
"147","A_M1002YM01_1S1RNA",26,306
"148","A_M1002YM01_1S1RNA",27,306
"149","A_M1002YM01_1S1RNA",28,308
"150","A_M1002YM01_1S1RNA",29,308
"151","A_M1002YM01_1S1RNA",30,311
"152","A_M1002YM01_1S1RNA",31,311
"153","A_M1002YM01_1S1RNA",32,311
"154","A_M1002YM01_1S1RNA",33,311
"155","A_M1002YM01_1S1RNA",34,311
"156","A_M1002YM01_1S1RNA",35,311
"157","A_M1002YM01_1S1RNA",36,311
"158","A_M1002YM01_1S1RNA",37,311
"159","A_M1002YM01_1S1RNA",38,311
"160","A_M1002YM01_1S1RNA",39,311
"161","A_M1002YM01_1S1RNA",40,311
"162","A_M1002YM01_2S2RNA",1,111
"163","A_M1002YM01_2S2RNA",2,111
"164","A_M1002YM01_2S2RNA",3,111
"165","A_M1002YM01_2S2RNA",4,102
"166","A_M1002YM01_2S2RNA",5,102
"167","A_M1002YM01_2S2RNA",6,105
"168","A_M1002YM01_2S2RNA",7,105
"169","A_M1002YM01_2S2RNA",8,106
"170","A_M1002YM01_2S2RNA",9,106
