,RunName,win60s,drowsy,new,c,0,1
56,A_M1001YM01_2S2RNA,27,False,27A_M1001YM01_2S2RNA,306.0,0.96696174,0.033038255
57,A_M1001YM01_2S2RNA,28,False,28A_M1001YM01_2S2RNA,307.0,0.99964535,0.0003546613
58,A_M1001YM01_2S2RNA,29,False,29A_M1001YM01_2S2RNA,308.0,0.99989927,0.00010066848
59,A_M1001YM01_3S3RNA,1,False,1A_M1001YM01_3S3RNA,111.0,0.9943961,0.005603898
60,A_M1001YM01_3S3RNA,2,False,2A_M1001YM01_3S3RNA,111.0,0.9999399,6.007755e-05
61,A_M1001YM01_3S3RNA,3,False,3A_M1001YM01_3S3RNA,111.0,0.99571806,0.0042818845
62,A_M1001YM01_3S3RNA,4,False,4A_M1001YM01_3S3RNA,102.0,0.99998987,1.012466e-05
63,A_M1001YM01_3S3RNA,5,False,5A_M1001YM01_3S3RNA,102.0,0.9992279,0.0007721224
64,A_M1001YM01_3S3RNA,6,False,6A_M1001YM01_3S3RNA,102.0,0.9995658,0.00043421844
65,A_M1001YM01_3S3RNA,7,False,7A_M1001YM01_3S3RNA,103.0,0.74086165,0.25913838
66,A_M1001YM01_3S3RNA,8,False,8A_M1001YM01_3S3RNA,103.0,0.05384352,0.94615644
67,A_M1001YM01_3S3RNA,9,False,9A_M1001YM01_3S3RNA,104.0,1.0,5.1697553e-09
68,A_M1001YM01_3S3RNA,10,False,10A_M1001YM01_3S3RNA,106.0,0.96683246,0.033167556
69,A_M1001YM01_3S3RNA,11,False,11A_M1001YM01_3S3RNA,106.0,0.9857087,0.014291268
70,A_M1001YM01_3S3RNA,12,False,12A_M1001YM01_3S3RNA,202.0,0.9999398,6.025576e-05
71,A_M1001YM01_3S3RNA,13,False,13A_M1001YM01_3S3RNA,203.0,0.998445,0.0015550221
72,A_M1001YM01_3S3RNA,14,False,14A_M1001YM01_3S3RNA,203.0,0.707172,0.29282802
73,A_M1001YM01_3S3RNA,15,False,15A_M1001YM01_3S3RNA,203.0,0.49356082,0.50643927
74,A_M1001YM01_3S3RNA,16,False,16A_M1001YM01_3S3RNA,203.0,0.98721576,0.012784217
75,A_M1001YM01_3S3RNA,17,False,17A_M1001YM01_3S3RNA,204.0,0.99614596,0.0038540673
76,A_M1001YM01_3S3RNA,18,False,18A_M1001YM01_3S3RNA,205.0,0.9843121,0.015687939
77,A_M1001YM01_3S3RNA,19,False,19A_M1001YM01_3S3RNA,205.0,0.9781929,0.021807104
78,A_M1001YM01_3S3RNA,20,False,20A_M1001YM01_3S3RNA,205.0,0.9815819,0.018418059
79,A_M1001YM01_3S3RNA,21,False,21A_M1001YM01_3S3RNA,206.0,1.0,1.1117472e-10
80,A_M1001YM01_3S3RNA,22,False,22A_M1001YM01_3S3RNA,303.0,0.9985096,0.0014903458
81,A_M1001YM01_3S3RNA,23,True,23A_M1001YM01_3S3RNA,304.0,0.8893474,0.11065265
82,A_M1001YM01_3S3RNA,24,False,24A_M1001YM01_3S3RNA,304.0,0.29588637,0.7041136
83,A_M1001YM01_3S3RNA,25,True,25A_M1001YM01_3S3RNA,304.0,1.0,4.5639703e-10
84,A_M1001YM01_3S3RNA,26,False,26A_M1001YM01_3S3RNA,305.0,0.99986076,0.00013923681
85,A_M1001YM01_3S3RNA,27,False,27A_M1001YM01_3S3RNA,306.0,0.8412325,0.15876749
86,A_M1001YM01_3S3RNA,28,False,28A_M1001YM01_3S3RNA,306.0,0.98940545,0.010594534
87,A_M1001YM01_3S3RNA,29,False,29A_M1001YM01_3S3RNA,307.0,0.99959964,0.00040032668
88,A_M1002YM01_1S1RNA,1,False,1A_M1002YM01_1S1RNA,102.0,0.9964037,0.0035963664
89,A_M1002YM01_1S1RNA,2,False,2A_M1002YM01_1S1RNA,102.0,0.89478856,0.105211385
90,A_M1002YM01_1S1RNA,3,False,3A_M1002YM01_1S1RNA,103.0,0.5239646,0.47603542
91,A_M1002YM01_1S1RNA,4,False,4A_M1002YM01_1S1RNA,103.0,0.12547159,0.87452847
92,A_M1002YM01_1S1RNA,5,False,5A_M1002YM01_1S1RNA,104.0,0.99998176,1.8248484e-05
93,A_M1002YM01_1S1RNA,6,False,6A_M1002YM01_1S1RNA,104.0,0.9968965,0.003103449
94,A_M1002YM01_1S1RNA,7,False,7A_M1002YM01_1S1RNA,105.0,0.99953604,0.0004639848
95,A_M1002YM01_1S1RNA,8,False,8A_M1002YM01_1S1RNA,106.0,0.76629674,0.2337033
96,A_M1002YM01_1S1RNA,9,False,9A_M1002YM01_1S1RNA,106.0,0.76293266,0.23706733
97,A_M1002YM01_1S1RNA,10,False,10A_M1002YM01_1S1RNA,201.0,0.9999422,5.7755155e-05
98,A_M1002YM01_1S1RNA,11,False,11A_M1002YM01_1S1RNA,203.0,0.91671634,0.0832837
99,A_M1002YM01_1S1RNA,12,False,12A_M1002YM01_1S1RNA,203.0,0.14616421,0.8538358
100,A_M1002YM01_1S1RNA,13,False,13A_M1002YM01_1S1RNA,203.0,0.3564424,0.6435576
